observed_at,oui_count,source_url,source_archive_url
2026-07-31T04:00:36.000Z,39877,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20260731040027/https://standards-oui.ieee.org/oui/oui.csv
2026-08-01T04:00:43.000Z,39885,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-02T04:00:29.000Z,39885,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-03T04:00:40.000Z,39885,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-04T04:00:36.000Z,39896,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20260804040030/https://standards-oui.ieee.org/oui/oui.csv
2026-08-05T04:00:47.000Z,39898,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20260805040033/https://standards-oui.ieee.org/oui/oui.csv
2026-08-06T04:00:50.000Z,39902,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-07T04:00:28.000Z,39905,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20260807040021/https://standards-oui.ieee.org/oui/oui.csv
2026-08-08T04:00:31.000Z,39912,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-09T04:00:39.000Z,39912,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-10T04:00:28.000Z,39912,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-11T04:00:21.000Z,39916,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-12T04:00:23.000Z,39922,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-13T04:00:26.000Z,39927,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-14T04:00:20.000Z,39934,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-15T04:00:26.000Z,39944,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-16T04:00:24.000Z,39944,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-17T04:00:21.000Z,39944,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-18T04:00:25.000Z,39951,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-19T04:00:19.000Z,39957,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-20T04:00:24.000Z,39969,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-21T04:00:20.000Z,39982,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-22T04:00:26.000Z,39987,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-23T04:00:22.000Z,39987,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-24T04:00:23.000Z,39987,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-25T04:00:29.000Z,40010,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-26T04:00:21.000Z,40013,https://standards-oui.ieee.org/oui/oui.csv,
2026-08-27T04:00:21.000Z,40013,https://standards-oui.ieee.org/oui/oui.csv,
