oui_prefix,change_type,observed_at,previous_org,current_org,source_url,source_archive_url
000048,recased,2017-09-08T02:05:22.000Z,SEIKO EPSON CORPORATION,Seiko Epson Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
000064,renamed,2017-09-08T02:05:22.000Z,Yokogawa Electric Corporation,Yokogawa Digital Computer Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
000097,renamed,2017-09-08T02:05:22.000Z,EMC Corporation,Dell EMC,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0000FE,renamed,2017-09-08T02:05:22.000Z,ANNAPOLIS MICRO SYSTEMS,"Annapolis Micro Systems, Inc.",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
000144,renamed,2017-09-08T02:05:22.000Z,EMC Corporation,Dell EMC,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00014F,recased,2017-09-08T02:05:22.000Z,ADTRAN INC,Adtran Inc,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
000422,renamed,2017-09-08T02:05:22.000Z,"Gordon Kapes, Inc.","Studio Technologies, Inc",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00054F,renamed,2017-09-08T02:05:22.000Z,Private,Garmin International,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0005A7,recased,2017-09-08T02:05:22.000Z,"Hyperchip, Inc.",HYPERCHIP Inc.,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
000631,renamed,2017-09-08T02:05:22.000Z,Calix,Calix Inc.,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00071C,renamed,2017-09-08T02:05:22.000Z,AT&T Fixed Wireless Services,AT&T,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
000726,renamed,2017-09-08T02:05:22.000Z,"Shenzhen Gongjin Electronics Co., Ltd.","SHENZHEN GONGJIN ELECTRONICS CO.,LT",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0008C9,renamed,2017-09-08T02:05:22.000Z,TechniSat Digital GmbH,TechniSat Digital GmbH Daun,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0008FA,renamed,2017-09-08T02:05:22.000Z,Karl E.Brinkmann GmbH,KEB Automation KG,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00093A,renamed,2017-09-08T02:05:22.000Z,Molex Fiber Optics,Molex,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
000966,renamed,2017-09-08T02:05:22.000Z,Thales Navigation,TRIMBLE EUROPE BV,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0009BC,renamed,2017-09-08T02:05:22.000Z,"Digital Safety Technologies, Inc","Utility, Inc",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
000AE4,renamed,2017-09-08T02:05:22.000Z,Wistron Neweb Corporation,Wistron Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
000B2E,renamed,2017-09-08T02:05:22.000Z,Cal-Comp Electronics (Thailand) Public Company Limited Taipe,Cal-Comp Electronics & Communications Company Ltd.,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
000B4F,renamed,2017-09-08T02:05:22.000Z,"Verifone, INC.",Verifone,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
000BA1,renamed,2017-09-08T02:05:22.000Z,SYSCOM Ltd.,Fujikura Solutions Ltd.,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
000CAB,renamed,2017-09-08T02:05:22.000Z,COMMEND International,Commend International GmbH,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
000D2C,renamed,2017-09-08T02:05:22.000Z,Patapsco Designs Ltd,Net2Edge Limited,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
000F4F,renamed,2017-09-08T02:05:22.000Z,Cadmus Technology Ltd,PCS Systemtechnik GmbH,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
001009,renamed,2017-09-08T02:05:22.000Z,HORO QUARTZ,HORANET,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00108C,renamed,2017-09-08T02:05:22.000Z,"FUJITSU TELECOMMUNICATIONS EUROPE, LTD.",Fujitsu Services Ltd,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00111B,renamed,2017-09-08T02:05:22.000Z,Targa Systems Div L-3 Communications Canada,Targa Systems Div L-3 Communications,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00117E,renamed,2017-09-08T02:05:22.000Z,"Progeny, A division of Midmark Corp",Midmark Corp,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00118B,renamed,2017-09-08T02:05:22.000Z,"Alcatel-Lucent, Enterprise Business Group",Alcatel-Lucent Enterprise,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
001219,renamed,2017-09-08T02:05:22.000Z,Ahead Communication Systems Inc,General Datacomm LLC,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
001248,renamed,2017-09-08T02:05:22.000Z,EMC Corporation (Kashya),Dell EMC,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
001349,recased,2017-09-08T02:05:22.000Z,ZyXEL Communications Corporation,Zyxel Communications Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00139D,renamed,2017-09-08T02:05:22.000Z,Marvell Hispana S.L.,MaxLinear Hispania S.L.U.,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
001439,recased,2017-09-08T02:05:22.000Z,"Blonder Tongue Laboratories, Inc.","Blonder Tongue Laboratories, Inc",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00152A,renamed,2017-09-08T02:05:22.000Z,Nokia GmbH,Nokia Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
001530,renamed,2017-09-08T02:05:22.000Z,EMC Corporation,Dell EMC,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0016D3,renamed,2017-09-08T02:05:22.000Z,Wistron Neweb Corporation,Wistron Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0016ED,renamed,2017-09-08T02:05:22.000Z,"Digital Safety Technologies, Inc","Utility, Inc",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00173A,renamed,2017-09-08T02:05:22.000Z,Reach Systems Inc.,Cloudastructure Inc,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00179B,recased,2017-09-08T02:05:22.000Z,"Chant Sincere CO., LTD.","CHANT SINCERE CO.,LTD",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0017C8,renamed,2017-09-08T02:05:22.000Z,KYOCERA Document Solutions Inc.,KYOCERA Display Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00180A,renamed,2017-09-08T02:05:22.000Z,"Meraki, Inc.",Cisco Meraki,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00187D,renamed,2017-09-08T02:05:22.000Z,Armorlink shanghai Co. Ltd,Armorlink Co .Ltd,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
001987,recased,2017-09-08T02:05:22.000Z,"Panasonic Mobile Communications Co., Ltd.","Panasonic Mobile Communications Co.,Ltd.",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
001992,recased,2017-09-08T02:05:22.000Z,ADTRAN INC.,Adtran Inc,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0019CB,recased,2017-09-08T02:05:22.000Z,ZyXEL Communications Corporation,Zyxel Communications Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
001BB5,renamed,2017-09-08T02:05:22.000Z,ZF Electronics GmbH,Cherry GmbH,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
001BD3,renamed,2017-09-08T02:05:22.000Z,Panasonic Corp. AVC Company,Panasonic Corporation AVC Networks Company,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
001C73,renamed,2017-09-08T02:05:22.000Z,"Arista Networks, Inc.",Arista Networks,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
001D44,renamed,2017-09-08T02:05:22.000Z,KROHNE Messtechnik GmbH,Krohne,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
001D72,renamed,2017-09-08T02:05:22.000Z,Wistron Neweb Corporation,Wistron Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
001DCC,renamed,2017-09-08T02:05:22.000Z,Hetra Secure Solutions,"Ayon Cyber Security, Inc",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
001F16,renamed,2017-09-08T02:05:22.000Z,Wistron Neweb Corporation,Wistron Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
001F7D,recased,2017-09-08T02:05:22.000Z,embedded wireless GmbH,Embedded Wireless GmbH,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
001F82,renamed,2017-09-08T02:05:22.000Z,"Cal-Comp Electronics & Communications Co., Ltd",Cal-Comp Electronics & Communications Company Ltd.,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
001F92,renamed,2017-09-08T02:05:22.000Z,"VideoIQ, Inc.",Avigilon Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
001FA4,renamed,2017-09-08T02:05:22.000Z,"ShenZhen Gongjin Electronics Co.,Ltd","SHENZHEN GONGJIN ELECTRONICS CO.,LT",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
002037,recased,2017-09-08T02:05:22.000Z,SEAGATE TECHNOLOGY,Seagate Technology,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0020DA,renamed,2017-09-08T02:05:22.000Z,Alcatel North America ESD,Alcatel-Lucent Enterprise,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
002183,renamed,2017-09-08T02:05:22.000Z,VATECH HYDRO,ANDRITZ HYDRO GmbH,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
002294,recased,2017-09-08T02:05:22.000Z,Kyocera Corporation,KYOCERA CORPORATION,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
002365,renamed,2017-09-08T02:05:22.000Z,ELKA-Elektronik GmbH,Insta Elektro GmbH,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0023F8,recased,2017-09-08T02:05:22.000Z,ZyXEL Communications Corporation,Zyxel Communications Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
002424,renamed,2017-09-08T02:05:22.000Z,Axis Network Technology,Ace Axis Limited,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
002445,renamed,2017-09-08T02:05:22.000Z,CommScope Canada Inc.,Adtran Inc,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0024AF,renamed,2017-09-08T02:05:22.000Z,EchoStar Technologies,Echostar Technologies Corp,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00262D,renamed,2017-09-08T02:05:22.000Z,Wistron Neweb Corporation,Wistron Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
002692,renamed,2017-09-08T02:05:22.000Z,Mitsubishi Electric Co.,Mitsubishi Electric Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0026AB,recased,2017-09-08T02:05:22.000Z,SEIKO EPSON CORPORATION,Seiko Epson Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
003048,renamed,2017-09-08T02:05:22.000Z,"Supermicro Computer, Inc.","Super Micro Computer, Inc.",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
004066,renamed,2017-09-08T02:05:22.000Z,"Hitachi Metals, Ltd.",APRESIA Systems Ltd,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0040AA,renamed,2017-09-08T02:05:22.000Z,Metso Automation,Valmet Automation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
005013,renamed,2017-09-08T02:05:22.000Z,Chaparral Network Storage,Seagate Cloud Systems Inc,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
005016,renamed,2017-09-08T02:05:22.000Z,SST/WOODHEAD INDUSTRIES,Molex Canada Ltd,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0050B5,renamed,2017-09-08T02:05:22.000Z,FICHET-BAUCHE,FICHET SECURITE ELECTRONIQUE,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0050CC,renamed,2017-09-08T02:05:22.000Z,XYRATEX,Seagate Cloud Systems Inc,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
006041,renamed,2017-09-08T02:05:22.000Z,Yokogawa Electric Corporation,Yokogawa Digital Computer Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
006048,renamed,2017-09-08T02:05:22.000Z,EMC CORPORATION,Dell EMC,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
006088,renamed,2017-09-08T02:05:22.000Z,"WHITE MOUNTAIN DSP, INC.","Analog Devices, Inc.",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00609B,renamed,2017-09-08T02:05:22.000Z,"ASTRO-MED, INC.","AstroNova, Inc",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0060BD,renamed,2017-09-08T02:05:22.000Z,HUBBELL-PULSECOM,Enginuity Communications,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
008025,renamed,2017-09-08T02:05:22.000Z,STOLLMANN GMBH,Telit Wireless Solutions GmbH,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00806C,renamed,2017-09-08T02:05:22.000Z,CEGELEC PROJECTS LTD,Secure Systems & Services,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0080C2,renamed,2017-09-08T02:05:22.000Z,IEEE 802.1,IEEE 802.1 Working Group,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0080E7,renamed,2017-09-08T02:05:22.000Z,LYNWOOD SCIENTIFIC DEV. LTD.,Leonardo Tactical Systems.,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
009058,renamed,2017-09-08T02:05:22.000Z,Ultra Electronics Limited (AEP Networks),Ultra Electronics Command & Control Systems,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0090F1,renamed,2017-09-08T02:05:22.000Z,DOT HILL SYSTEMS CORPORATION,Seagate Cloud Systems Inc,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00A06F,renamed,2017-09-08T02:05:22.000Z,"THE APPCON GROUP, INC.","Color Sentinel Systems, LLC",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00A096,recased,2017-09-08T02:05:22.000Z,"MITSUMI ELECTRIC CO., LTD.","MITSUMI ELECTRIC CO.,LTD.",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00A0C5,recased,2017-09-08T02:05:22.000Z,ZyXEL Communications Corporation,Zyxel Communications Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00A0C8,recased,2017-09-08T02:05:22.000Z,ADTRAN INC.,Adtran Inc,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00C064,renamed,2017-09-08T02:05:22.000Z,GENERAL DATACOMM IND. INC.,General Datacomm LLC,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00C0EE,renamed,2017-09-08T02:05:22.000Z,KYOCERA CORPORATION,KYOCERA Display Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00C0FF,renamed,2017-09-08T02:05:22.000Z,DOT HILL SYSTEMS CORPORATION,Seagate Cloud Systems Inc,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00D01F,renamed,2017-09-08T02:05:22.000Z,Senetas Security,Senetas Corporation Ltd,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00D095,renamed,2017-09-08T02:05:22.000Z,"Alcatel-Lucent, Enterprise Business Group",Alcatel-Lucent Enterprise,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00D0B2,renamed,2017-09-08T02:05:22.000Z,19514,Xiotech Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00D0EC,renamed,2017-09-08T02:05:22.000Z,"NAKAYO TELECOMMUNICATIONS,INC",NAKAYO Inc,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00E022,recased,2017-09-08T02:05:22.000Z,Analog Devices Inc.,"Analog Devices, Inc.",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00E02B,recased,2017-09-08T02:05:22.000Z,EXTREME NETWORKS,Extreme Networks,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00E06C,renamed,2017-09-08T02:05:22.000Z,Ultra Electronics Limited (AEP Networks),Ultra Electronics Command & Control Systems,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00E0B1,renamed,2017-09-08T02:05:22.000Z,"Alcatel-Lucent, Enterprise Business Group",Alcatel-Lucent Enterprise,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00E0DA,renamed,2017-09-08T02:05:22.000Z,Alcatel North America ESD,Alcatel-Lucent Enterprise,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
04209A,renamed,2017-09-08T02:05:22.000Z,Panasonic AVC Networks Company,Panasonic Corporation AVC Networks Company,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
048B42,renamed,2017-09-08T02:05:22.000Z,Skspruce Technology Limited,Skspruce Technologies,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
04BF6D,recased,2017-09-08T02:05:22.000Z,ZyXEL Communications Corporation,Zyxel Communications Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
04C9D9,recased,2017-09-08T02:05:22.000Z,EchoStar Technologies Corp,Echostar Technologies Corp,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
08001B,renamed,2017-09-08T02:05:22.000Z,EMC Corporation,Dell EMC,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
080027,renamed,2017-09-08T02:05:22.000Z,Cadmus Computer Systems,PCS Systemtechnik GmbH,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
08006A,renamed,2017-09-08T02:05:22.000Z,ATT BELL LABORATORIES,AT&T,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
080070,renamed,2017-09-08T02:05:22.000Z,MITSUBISHI ELECTRIC CORP.,"Mitsubishi Precision Co.,LTd.",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
107BEF,recased,2017-09-08T02:05:22.000Z,ZyXEL Communications Corporation,Zyxel Communications Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
14144B,renamed,2017-09-08T02:05:22.000Z,"FUJIAN STAR-NET COMMUNICATION CO.,LTD","Ruijie Networks Co.,LTD",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
14CF8D,renamed,2017-09-08T02:05:22.000Z,"OHSUNG ELECTRONICS CO., LTD.",OHSUNG,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
180675,recased,2017-09-08T02:05:22.000Z,DILAX Intelcom GmbH,Dilax Intelcom GmbH,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
1C740D,recased,2017-09-08T02:05:22.000Z,ZyXEL Communications Corporation,Zyxel Communications Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
1C965A,renamed,2017-09-08T02:05:22.000Z,"Weifang goertek Electronics CO.,LTD","Weifang GoerTek Technology Co.,Ltd.",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
1CA532,renamed,2017-09-08T02:05:22.000Z,"Shenzhen Gongjin Electronics Co.,Ltd","SHENZHEN GONGJIN ELECTRONICS CO.,LT",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
245FDF,recased,2017-09-08T02:05:22.000Z,KYOCERA Corporation,KYOCERA CORPORATION,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
